Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
17,"Samsung 50"" 4K UHD HDR LED Tizen Smart TV (UN50TU690TFXZC) - 2022 - Only at Best Buy",(764 Reviews),$599.99,15.5,Samsung,LED,50,4K
18,"Sony BRAVIA 65"" 4K UHD HDR LED Google TV Smart TV (XR65X90K) - 2022",(1068 Reviews),"$1,499.99",NA,Sony,LED,65,4K
19,"Samsung The Frame 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS03BAFXZC) - 2022 - Charcoal Black",(418 Reviews),"$1,999.99",$53,Samsung,LED,55,4K
20,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU7000FXZC) - Titan Grey",(4 Reviews),$669.99,15.5,Samsung,LED,65,4K
21,"Samsung 55"" 4K UHD Neo QLED Tizen Smart TV (QN55QN90BAFXZC) - Titan Black",(143 Reviews),"$1,499.95",$400,Samsung,LED,55,4K
22,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",(453 Reviews),$999.99,15.5,LG,LED,65,4K
23,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022 - Only at Best Buy",(49 Reviews),$799.99,15.5,Samsung,LED,65,4K
24,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C2PUA) - 2022 - Dark Titan Silver",(4770 Reviews),"$2,499.99",15.5,LG,OLED,65,4K
25,"Toshiba 50"" 4K UHD HDR LED Smart TV (50C350KC) - Fire TV Edition - 2021 - Only at Best Buy",(21 Reviews),$629.99,NA,Toshiba,LED,50,4K
26,"TCL 3-Series 40"" 1080p HD LED Roku Smart TV (40S355-CA) - 2022",(7 Reviews),$279.95,$80,NA,LED,40,1080p
27,Amazon Echo Show 10 with Alexa - Glacier White,(1163 Reviews),$249.99,$35,Amazon Echo,NA,NA,NA
28,Amazon Echo (4th Gen) Smart Home Hub with Alexa - Charcoal,(1209 Reviews),$94.99,15.5,Amazon Echo,NA,NA,NA
29,"Toshiba 55"" 4K UHD HDR LED Smart TV (55C350KC) - Fire TV Edition - 2021 - Only at Best Buy",(56 Reviews),$649.99,7.5,Toshiba,LED,55,4K
30,"Samsung 32"" 720p HD LED Tizen Smart TV (UN32M4500BFXZC) - Glossy Black",(4645 Reviews),$229.99,12.2,Samsung,LED,32,720p
31,"LG 42"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED42C2PUA) - 2022 - Dark Titan Silver",(2730 Reviews),"$1,499.99",12.2,LG,OLED,42,4K
32,"Hisense 40"" 1080p HD LED VIDAA Smart TV (40A4KV) - 2023",(0 Reviews),$249.99,$50,Hisense,LED,40,1080p
33,"Amazon Fire TV 4-Series 43"" 4K UHD HDR LED Smart TV (B08T6FMSY8) - 2021",(16 Reviews),$339.99,$200,Amazon fire TV,LED,43,4K
34,"Samsung The Frame 50"" 4K UHD HDR QLED Tizen Smart TV (QN50LS03BAFXZC) - 2022 - Charcoal Black",(419 Reviews),"$1,399.99",NA,Samsung,LED,50,4K
35,"TCL 55"" Q-Series 4K UHD HDR QLED Smart Google TV (55Q650G-CA) - 2023",(0 Reviews),$549.99,15.5,NA,LED,55,4K
36,"LG 55"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED55C2PUA) - 2022 - Dark Titan Silver",(4226 Reviews),"$1,799.95",$100,LG,OLED,55,4K
37,"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70CU7000FXZC) - 2023 - Titan Grey",(122 Reviews),$999.99,12.2,Samsung,LED,70,4K
38,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU7000FXZC) - Titan Grey",(20963 Reviews),$449.95,15.5,Samsung,LED,43,4K
39,"Sony BRAVIA 75"" 4K UHD HDR LED Google TV Smart TV (XR75X90K) - 2022",(550 Reviews),"$1,999.99",15.5,Sony,LED,75,4K
40,"Sony BRAVIA XR 65"" 4K UHD HDR OLED Google TV Smart TV (XR65A80K) - 2022 - Titanium Black",(1514 Reviews),"$2,399.99",15.5,Sony,OLED,65,4K
41,"LG 55"" 4K UHD HDR OLED webOS Smart TV (OLED55B2PUA) - 2022",(980 Reviews),"$1,399.99",15.5,LG,OLED,55,4K
42,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UP7070PUD) - 2021",(1131 Reviews),$998.98,$300,LG,LED,75,4K
43,"LG 77"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED77C2PUA) - 2022 - Dark Titan Silver",(3575 Reviews),"$3,799.99","$2,300",LG,OLED,77,4K
44,"Samsung 85"" 4K UHD Neo QLED Tizen Smart TV (QN85QN90BAFXZC) - Titan Black",(138 Reviews),"$3,999.97",$29,Samsung,LED,85,4K
45,"Open Box - Samsung 32"" 720p HD LED Tizen Smart TV (UN32M4500BFXZC) - Glossy Black",(13 Reviews),$183.99,15.5,Samsung,LED,32,720p
