description,reviews,Price,Discount,Brand,TV Type,TV Size,TV Pixels
"Sony BRAVIA 75"" 4K UHD HDR LED Google TV Smart TV (XR75X90K) - 2022",(550 Reviews),$1999.99,15.50,Sony,LED,75,4K
"Sony BRAVIA XR 65"" 4K UHD HDR OLED Google TV Smart TV (XR65A80K) - 2022 - Titanium Black",(1514 Reviews),$2399.99,15.50,Sony,OLED,65,4K
"LG 55"" 4K UHD HDR OLED webOS Smart TV (OLED55B2PUA) - 2022",(980 Reviews),$1399.99,15.50,LG,OLED,55,4K
"LG 75"" 4K UHD HDR LED webOS Smart TV (75UP7070PUD) - 2021",(1131 Reviews),$998.98,$300,LG,LED,75,4K
"LG 77"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED77C2PUA) - 2022 - Dark Titan Silver",(3575 Reviews),$3799.99,"$2,300",LG,OLED,77,4K
"Samsung 85"" 4K UHD Neo QLED Tizen Smart TV (QN85QN90BAFXZC) - Titan Black",(138 Reviews),$3999.97,$29,Samsung,LED,85,4K
"Open Box - Samsung 32"" 720p HD LED Tizen Smart TV (UN32M4500BFXZC) - Glossy Black",(13 Reviews),$183.99,15.50,Samsung,LED,32,720p
"Samsung 70"" 4K UHD HDR LED Tizen Smart TV (UN70TU7000FXZC) - Titan Grey",(12075 Reviews),$999.97,15.50,Samsung,LED,70,4K
"Samsung 65"" 4K UHD Neo QLED Tizen Smart TV (QN65QN90BAFXZC) - Titan Black",(143 Reviews),$2099.99,$50,Samsung,LED,65,4K
"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU7000FXZC) - 2023 - Titan Grey",(158 Reviews),$899.99,$40,Samsung,LED,65,4K
"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022",(2 Reviews),$639.99,15.50,Samsung,LED,65,4K
"Sony BRAVIA 55"" 4K UHD HDR LED Google TV Smart TV (XR55X90K) - 2022",(433 Reviews),$1199.99,"$1,200",Sony,LED,55,4K
"Sony BRAVIA XR X95K 65"" 4K UHD HDR Mini-LED Smart Google TV (XR65X95K) - 2022",(282 Reviews),$2499.99,15.50,Sony,LED,65,4K
"Samsung 65"" 4K UHD HDR QLED Tizen Smart TV (QN65Q60BAFXZC) - Titan Grey",(256 Reviews),$1199.99,15.50,Samsung,LED,65,4K
"Sony BRAVIA 85"" 4K UHD HDR LED Google TV Smart TV (XR85X90K) - 2022",(455 Reviews),$2799.99,"$1,000",Sony,LED,85,4K
"Samsung The Frame 75"" 4K UHD HDR QLED Tizen Smart TV (QN75LS03BAFXZC) - 2022 - Charcoal Black",(413 Reviews),$2999.99,15.50,Samsung,LED,75,4K
"Samsung 75"" 4K UHD HDR LED Tizen Smart TV (UN75AU8000FXZC) - 2021",(4381 Reviews),$1299.99,$200,Samsung,LED,75,4K
"LG 65"" 4K UHD HDR QNED webOS Smart TV (65QNED80UQA) - 2022 - Dark Titan Silver/Ashed Blue",(854 Reviews),$1199.99,$600,LG,QNED,65,4K
"Sony BRAVIA XR A95K 65"" 4K UHD HDR OLED Smart Google TV (XR65A95K) - 2022",(510 Reviews),$3999.99,15.50,Sony,OLED,65,4K
